116	Klay Thompson	34	DAL	SF	45	45	27.3	4.9	11.8	.419	3.0	7.7	.391	1.9	4.1	.470	.546	0.8	0.9	.902	0.6	2.8	3.4	2.0	0.8	0.4	1.4	1.2	13.7	
117	Jarrett Allen	26	CLE	C	51	51	29.0	5.6	8.0	.700	0.0	0.0	.000	5.6	7.9	.703	.700	2.5	3.4	.740	2.7	7.6	10.3	2.0	0.9	0.9	1.1	1.4	13.6	
118	Dillon Brooks	29	HOU	SF	48	48	32.3	5.0	11.8	.419	2.4	6.1	.387	2.6	5.8	.453	.518	1.3	1.5	.851	1.2	2.6	3.8	1.5	0.8	0.2	1.0	3.5	13.6	
119	Bobby Portis	29	MIL	PF	42	6	24.8	5.6	12.0	.466	1.3	3.5	.362	4.3	8.4	.510	.520	1.2	1.5	.820	1.7	6.4	8.1	2.0	0.7	0.6	1.2	1.7	13.6	
120	Malcolm Brogdon	32	WAS	PG	21	13	24.1	4.5	10.2	.437	0.8	2.4	.314	3.7	7.8	.476	.474	3.4	3.9	.866	1.0	3.0	4.0	4.0	0.5	0.2	1.6	1.4	13.1	
121	Tobias Harris	32	DET	PF	49	49	32.0	5.0	11.1	.448	1.2	3.9	.321	3.7	7.2	.517	.505	1.8	2.1	.864	0.9	5.1	6.0	2.3	0.9	0.9	1.1	1.9	13.0	
122	Russell Westbrook	36	DEN	PG	48	27	27.7	4.9	10.3	.477	1.1	3.5	.331	3.8	6.8	.550	.532	2.0	3.2	.641	1.4	3.7	5.1	6.4	1.5	0.5	3.0	2.5	13.0	
123	D'Angelo Russell	28	2TM	PG	42	20	25.7	4.4	10.9	.404	2.0	5.8	.335	2.4	5.0	.483	.493	2.2	2.5	.875	0.3	2.5	2.8	5.2	1.0	0.4	1.9	1.9	12.9	
124	D'Angelo Russell	28	LAL	PG	29	10	26.3	4.4	10.7	.415	1.9	5.8	.333	2.5	4.9	.510	.505	1.6	1.8	.849	0.3	2.5	2.8	4.7	0.8	0.1	1.7	1.8	12.4	
125	D'Angelo Russell	28	BRK	PG	13	10	24.3	4.2	11.2	.379	2.0	5.9	.338	2.2	5.2	.426	.469	3.5	3.9	.902	0.4	2.5	2.9	6.5	1.3	0.9	2.2	2.0	14.0	
126	Moritz Wagner	27	ORL	C	30	1	18.8	4.7	8.3	.562	0.9	2.5	.360	3.8	5.8	.649	.616	2.6	3.7	.718	1.3	3.6	4.9	1.4	0.8	0.4	1.6	1.8	12.9	
127	Rui Hachimura	26	LAL	PF	42	42	32.0	4.9	9.6	.504	1.6	3.8	.422	3.2	5.8	.557	.588	1.5	1.9	.772	1.5	3.6	5.1	1.5	0.8	0.5	0.9	1.9	12.8	
128	Santi Aldama	24	MEM	PF	43	11	24.6	5.0	10.1	.489	1.7	4.7	.370	3.2	5.5	.589	.573	1.0	1.5	.698	1.6	5.2	6.7	2.5	0.8	0.5	1.1	1.0	12.7	
129	Daniel Gafford	26	DAL	C	49	26	22.0	5.1	7.3	.699	0.0	0.0		5.1	7.3	.699	.699	2.4	3.4	.710	2.7	4.2	6.9	1.4	0.4	1.8	1.2	2.7	12.6	
130	Scoot Henderson	20	POR	PG	45	8	26.5	4.3	9.9	.434	1.5	4.0	.367	2.8	5.9	.479	.508	2.5	3.2	.785	0.7	2.4	3.1	5.4	1.2	0.3	2.7	2.7	12.6	
131	Khris Middleton	33	MIL	SF	23	7	23.2	4.7	9.2	.512	1.5	3.7	.407	3.2	5.4	.584	.595	1.7	2.0	.848	0.2	3.5	3.7	4.4	0.7	0.2	1.6	2.3	12.6	
132	Bilal Coulibaly	20	WAS	SF	46	46	33.1	4.5	10.5	.424	1.1	3.8	.277	3.4	6.7	.508	.474	2.5	3.2	.772	1.4	3.6	5.0	3.5	1.3	0.8	2.1	2.4	12.5	
133	Ayo Dosunmu	25	CHI	SG	41	23	30.7	4.8	9.9	.490	1.4	4.2	.345	3.4	5.7	.597	.563	1.3	1.7	.794	0.6	3.0	3.6	4.7	0.9	0.4	1.3	2.3	12.4	
134	Aaron Gordon	29	DEN	PF	30	21	26.7	4.3	8.5	.510	1.1	2.8	.405	3.2	5.7	.561	.576	2.5	3.2	.784	1.5	3.2	4.7	3.1	0.5	0.3	1.3	1.6	12.3	
135	Terry Rozier	30	MIA	PG	45	21	28.5	4.5	11.1	.409	1.6	5.2	.301	3.0	5.8	.506	.480	1.6	1.9	.859	0.8	3.4	4.2	2.9	0.6	0.3	1.4	1.4	12.3	
136	Stephon Castle	20	SAS	PG	47	29	25.5	4.4	10.8	.406	1.1	3.9	.275	3.3	6.9	.479	.455	2.4	3.3	.716	0.8	2.0	2.8	3.7	0.8	0.3	2.0	1.8	12.2	
137	Josh Giddey	22	CHI	PG	48	48	28.8	4.6	10.3	.448	1.3	3.8	.339	3.3	6.5	.513	.511	1.6	2.1	.755	1.6	5.6	7.3	6.6	1.1	0.5	2.8	1.6	12.1	
138	Keldon Johnson	25	SAS	SF	45	0	23.8	4.5	9.8	.456	1.1	3.7	.305	3.4	6.1	.547	.514	2.0	2.6	.765	1.3	3.4	4.7	1.4	0.6	0.2	0.8	1.5	12.1	
139	Brook Lopez	36	MIL	C	48	48	32.1	4.6	9.6	.475	1.9	5.2	.371	2.6	4.4	.596	.575	1.1	1.4	.800	1.1	3.6	4.7	1.7	0.7	1.9	1.0	2.2	12.1	
140	Onyeka Okongwu	24	ATL	C	44	10	25.0	4.8	8.4	.573	0.5	1.6	.292	4.3	6.8	.641	.601	2.0	2.7	.739	2.8	5.1	7.9	2.0	0.8	0.9	1.0	2.4	12.1	
141	Keegan Murray	24	SAC	PF	48	48	35.1	4.7	10.7	.436	1.8	5.5	.327	2.9	5.2	.552	.520	0.8	1.0	.816	2.2	4.9	7.1	1.4	0.8	0.8	0.9	2.6	12.0	
142	Daeqwon Plowden	26	ATL	SG	2	0	16.5	4.0	5.0	.800	3.0	4.0	.750	1.0	1.0	1.000	1.100	1.0	1.0	1.000	1.5	1.0	2.5	0.0	0.0	0.0	0.5	2.5	12.0	
143	Jeremy Sochan	21	SAS	PF	29	19	27.1	4.9	9.1	.536	0.5	1.5	.318	4.4	7.6	.580	.563	1.8	2.6	.707	2.4	4.9	7.4	2.6	0.9	0.6	1.8	2.4	12.0	
144	Jabari Smith Jr.	21	HOU	PF	33	33	30.9	4.1	9.5	.435	1.7	4.8	.354	2.4	4.7	.516	.524	2.0	2.3	.867	1.8	4.7	6.5	1.0	0.4	1.0	0.9	2.3	11.9	
145	Harrison Barnes	32	SAS	PF	48	48	28.0	4.0	7.9	.505	1.5	3.6	.417	2.5	4.3	.580	.601	2.2	2.7	.802	1.5	2.5	4.0	1.8	0.4	0.2	0.6	1.0	11.7	
146	Buddy Hield	32	GSW	SG	51	19	23.5	4.2	10.2	.413	2.6	7.0	.371	1.6	3.2	.506	.541	0.7	0.9	.822	0.6	2.7	3.3	1.7	0.8	0.3	1.2	1.8	11.7	
147	Dante Exum	29	DAL	PG	4	3	18.8	4.3	8.5	.500	1.3	3.0	.417	3.0	5.5	.545	.574	1.8	2.5	.700	0.3	1.0	1.3	3.3	0.8	0.0	1.3	1.5	11.5	
148	Corey Kispert	25	WAS	SF	45	0	26.6	4.2	9.3	.450	1.9	5.4	.357	2.3	3.9	.580	.554	1.2	1.4	.869	0.6	2.3	3.0	1.6	0.6	0.2	1.0	1.6	11.5	
149	Alex Sarr	19	WAS	C	41	41	26.8	4.3	10.9	.397	1.4	4.6	.307	2.9	6.3	.463	.462	1.4	2.1	.644	1.8	4.8	6.6	2.2	0.7	1.6	1.4	2.4	11.5	
150	Jonas Valančiūnas	32	2TM	C	50	12	20.0	4.7	8.6	.542	0.1	0.5	.259	4.5	8.1	.561	.550	1.9	2.2	.898	2.4	5.7	8.2	2.2	0.4	0.6	1.8	2.0	11.4	
